"","PLACE","TOT_POP","PCT_U18","PC_18_65","PCT_O65","MALE_FEM"
"43","Batavia city                                                                          ",16310,3995.95,9215.15,3098.9,82.9
"44","Bath village                                                                          ",5801,1380.638,3370.381,1044.18,86
"45","Bayport CDP                                                                           ",7702,2025.626,4936.982,739.392,89.7
"46","Bay Shore CDP                                                                         ",21279,5298.471,13490.886,2489.643,90.2
"47","Bayville village                                                                      ",7193,1460.179,4862.468,870.353,96.2
"48","Baywood CDP                                                                           ",7351,1867.154,4925.17,551.325,95.5
"49","Beacon city                                                                           ",13243,3403.451,8144.445,1695.104,96
"50","Beaverdam Lake-Salisbury Mills CDP                                                    ",2354,670.89,1464.188,218.922,100.5
"51","Bedford CDP                                                                           ",1828,435.064,1199.168,193.768,102.2
"52","Bellerose village                                                                     ",1101,292.866,680.418,127.716,91
"53","Bellmore CDP                                                                          ",16438,3550.608,11046.336,1841.056,93.7
"54","Bellport village                                                                      ",2572,586.416,1589.496,396.088,90.8
"55","Belmont village                                                                       ",1006,245.464,588.51,172.026,93.1
"56","Bergen village                                                                        ",1103,273.544,709.229,121.33,98.1
"57","Bethpage CDP                                                                          ",15761,3294.049,10370.738,2096.213,93.2
"58","Big Flats CDP                                                                         ",2658,699.054,1690.488,271.116,95.4
"59","Big Flats Airport CDP                                                                 ",2248,676.648,1393.76,177.592,92.5
"60","Billington Heights CDP                                                                ",1729,418.418,1075.438,233.415,95.5
"61","Binghamton city                                                                       ",53008,10654.608,32228.864,10124.528,82.7
"62","Black River village                                                                   ",1349,379.069,832.333,137.598,94.4
"63","Blasdell village                                                                      ",2900,707.6,1769,423.4,89.4
"64","Blauvelt CDP                                                                          ",4838,1045.008,3125.348,667.644,90
"65","Blue Point CDP                                                                        ",4230,1015.2,2728.35,486.45,93.8
"66","Bohemia CDP                                                                           ",9556,2264.772,6201.844,1089.384,93
"67","Bolivar village                                                                       ",1261,406.042,670.852,184.106,80
"68","Boonville village                                                                     ",2220,521.7,1172.16,526.14,78.3
"69","Brasher Falls-Winthrop CDP                                                            ",1271,326.647,734.638,208.444,83.7
"70","Brentwood CDP                                                                         ",45218,12073.206,29934.316,3165.26,94.4
"71","Brewerton CDP                                                                         ",2954,797.58,1837.388,319.032,90
"72","Brewster village                                                                      ",1566,305.37,1049.22,211.41,94.1
"73","Brewster Hill CDP                                                                     ",2226,607.698,1375.668,242.634,98.2
"74","Briarcliff Manor village                                                              ",7070,1371.58,4899.51,798.91,81.7
"75","Bridgehampton CDP                                                                     ",1997,479.28,1174.236,343.484,96.1
"76","Bridgeport CDP                                                                        ",2107,642.635,1278.949,185.416,87.3
"77","Brighton CDP                                                                          ",34455,6270.81,21396.555,6787.635,81
"78","Brightwaters village                                                                  ",3265,826.045,2047.155,388.535,90.2
"79","Brinckerhoff CDP                                                                      ",2756,744.12,1821.716,190.164,98.5
"80","Broadalbin village                                                                    ",1397,350.647,786.511,259.842,82.1
"81","Brockport village                                                                     ",8749,1356.095,6762.977,629.928,90.8
"82","Brocton village                                                                       ",1387,435.518,754.528,198.341,84.9
"83","Bronxville village                                                                    ",6028,1314.104,3755.444,958.452,79
"84","Brookhaven CDP                                                                        ",3118,770.146,1967.458,383.514,98.1
"85","Brookville village                                                                    ",3716,405.044,3095.428,215.528,85.8
"86","Brownville village                                                                    ",1138,315.226,675.972,146.802,93.6
"87","Buchanan village                                                                      ",1970,423.55,1237.16,309.29,91.7
"88","Buffalo city                                                                          ",328123,79405.766,199826.907,48562.204,82.5
"89","Cairo CDP                                                                             ",1273,278.787,717.972,276.241,79.7
"90","Calcium CDP                                                                           ",2465,909.585,1469.14,86.275,99
"91","Caledonia village                                                                     ",2262,579.072,1373.034,309.894,86.5
"92","Calverton CDP                                                                         ",4759,861.379,2484.198,1408.664,85.8
"93","Cambridge village                                                                     ",1906,476.5,1048.3,381.2,80.6
"94","Camden village                                                                        ",2552,648.208,1498.024,405.768,88
"95","Camillus village                                                                      ",1150,270.25,721.05,158.7,89.7
"96","Canajoharie village                                                                   ",2278,583.168,1246.066,448.766,82
"97","Canandaigua city                                                                      ",10725,2391.675,6477.9,1855.425,81.9
"98","Canastota village                                                                     ",4673,1177.596,2757.07,738.334,84.1
"99","Canisteo village                                                                      ",2421,668.196,1375.128,375.255,85.2
"100","Canton village                                                                        ",6379,861.165,4790.629,727.206,99.8
"101","Carle Place CDP                                                                       ",5107,1077.577,3222.517,806.906,94.1
"102","Carmel Hamlet CDP                                                                     ",4800,1089.6,3254.4,456,95.2
"103","Carthage village                                                                      ",4344,1329.264,2436.984,577.752,84.2
"104","Castile village                                                                       ",1078,321.244,614.46,143.374,88.8
"105","Castleton-on-Hudson village                                                           ",1491,375.732,842.415,274.344,70.9
"106","Catskill village                                                                      ",4690,1167.81,2645.16,877.03,79.1
"107","Cattaraugus village                                                                   ",1100,324.5,606.1,169.4,82.8
"108","Cayuga Heights village                                                                ",3457,480.523,2492.497,483.98,94.8
"109","Cazenovia village                                                                     ",3007,520.211,2101.893,381.889,58
"110","Cedarhurst village                                                                    ",5716,1166.064,3526.772,1023.164,86.1
"111","Celoron village                                                                       ",1232,273.504,741.664,215.6,88.2
"112","Centereach CDP                                                                        ",26720,7348,17528.32,1843.68,95.3
"113","Center Moriches CDP                                                                   ",5987,1532.672,3687.992,766.336,92.8
"114","Centerport CDP                                                                        ",5333,1098.598,3594.442,634.627,97
"115","Central Islip CDP                                                                     ",26028,7678.26,16631.892,1717.848,93.9
"116","Central Square village                                                                ",1671,456.183,949.128,265.689,77.9
"117","Central Valley CDP                                                                    ",1929,501.54,1248.063,177.468,93.9
"118","Champlain village                                                                     ",1273,306.793,767.619,198.588,89
"119","Chatham village                                                                       ",1920,453.12,1136.64,328.32,91.1
"120","Cheektowaga CDP                                                                       ",84387,16539.852,52066.779,15780.369,86
"121","Chester village                                                                       ",3270,742.29,2207.25,320.46,96.2
"122","Chestnut Ridge village                                                                ",7517,1743.944,5111.56,653.979,92.8
"123","Chittenango village                                                                   ",4734,1420.2,2835.666,478.134,87.1
"124","Churchville village                                                                   ",1731,455.253,1057.641,219.837,81.5
"125","Clarence Center CDP                                                                   ",1376,400.416,832.48,141.728,82.9
"126","Clark Mills CDP                                                                       ",1303,311.417,809.163,182.42,88.6
"127","Claverack-Red Mills CDP                                                               ",1110,217.56,668.22,224.22,92.7
"128","Clayton village                                                                       ",2160,542.16,1239.84,378,82.1
"129","Clifton Springs village                                                               ",2175,508.95,1231.05,435,81.2
"130","Clinton village                                                                       ",2238,525.93,1342.8,369.27,85.3
"131","Clintondale CDP                                                                       ",1394,359.652,903.312,131.036,96.6
"132","Clyde village                                                                         ",2409,648.021,1363.494,397.485,86.7
"133","Cobleskill village                                                                    ",5268,795.468,3724.476,748.056,79.9
"134","Cohoes city                                                                           ",16825,3970.7,9741.675,3112.625,81
"135","Cold Spring village                                                                   ",1998,391.608,1202.796,405.594,79.8
"136","Cold Spring Harbor CDP                                                                ",4789,1072.736,3088.905,627.359,91.5
"137","Colonie village                                                                       ",8019,1884.465,5068.008,1066.527,89.4
"138","Commack CDP                                                                           ",36124,8127.9,24925.56,3070.54,95.2
"139","Congers CDP                                                                           ",8003,2048.768,5338.001,616.231,93.3
"140","Constantia CDP                                                                        ",1140,308.94,721.62,109.44,98.8
"141","Cooperstown village                                                                   ",2180,412.02,1185.92,582.06,72
"142","Copiague CDP                                                                          ",20769,4735.332,13749.078,2263.821,95.4
"143","Coram CDP                                                                             ",30111,8160.081,19451.706,2499.213,91.6
"144","Corinth village                                                                       ",2760,742.44,1540.08,477.48,86.3
"145","Corning city                                                                          ",11938,2757.678,6888.226,2280.158,79.1
"146","Cornwall on Hudson village                                                            ",3093,739.227,1858.893,494.88,86.5
"147","Cortland city                                                                         ",19801,3821.593,13306.272,2692.936,77.8
"148","Cortland West CDP                                                                     ",1270,360.68,751.84,157.48,94.2
"149","Country Knolls CDP                                                                    ",2287,656.369,1511.707,118.924,95.1
"150","Coxsackie village                                                                     ",2789,683.305,1625.987,479.708,83.5
"151","Croton-on-Hudson village                                                              ",7018,1543.96,4456.43,1017.61,88.4
"152","Crown Heights CDP                                                                     ",3200,857.6,2080,262.4,96.7
"153","Cuba village                                                                          ",1690,457.99,927.81,304.2,75.2
"154","Cumberland Head CDP                                                                   ",1698,395.634,1115.586,186.78,96.8
"155","Cutchogue CDP                                                                         ",2627,546.416,1476.374,604.21,86.6
"156","Dannemora village                                                                     ",4005,356.445,3484.35,164.205,686
"157","Dansville village                                                                     ",5002,1315.526,2896.158,790.316,85.3
"158","Deer Park CDP                                                                         ",28840,6229.44,19640.04,2999.36,91.6
"159","Delevan village                                                                       ",1214,388.48,677.412,148.108,88.8
"160","Delhi village                                                                         ",3064,398.32,2359.28,309.464,120.4
"161","Delmar CDP                                                                            ",8360,2064.92,4823.72,1471.36,83.9
"162","Depew village                                                                         ",17673,3852.714,11381.412,2438.874,88.9
"163","Deposit village                                                                       ",1936,565.312,1020.272,350.416,84
"164","De Witt CDP                                                                           ",8244,1549.872,5647.14,1046.988,114.2
"165","Dexter village                                                                        ",1030,329.6,576.8,122.57,80.4
"166","Dix Hills CDP                                                                         ",25849,6539.797,17577.32,1731.883,95.4
"167","Dobbs Ferry village                                                                   ",9940,2375.66,5993.82,1570.52,83.9
"168","Dolgeville village                                                                    ",2452,662.04,1311.82,475.688,81.6
"169","Dover Plains CDP                                                                      ",1847,448.821,962.287,437.739,84.3
"170","Dryden village                                                                        ",1908,528.516,1188.684,190.8,90.2
"171","Dundee village                                                                        ",1588,430.348,919.452,238.2,86.3
"172","Dunkirk city                                                                          ",13989,3511.239,7833.84,2629.932,83.7
"173","East Aurora village                                                                   ",6647,1595.28,3762.202,1289.518,80.4
"174","Eastchester CDP                                                                       ",18537,3503.493,11530.014,3503.493,83.4
"175","East Farmingdale CDP                                                                  ",4510,1032.79,3026.21,451,96.4
"176","East Glenville CDP                                                                    ",6518,1479.586,3767.404,1271.01,88.2
"177","East Greenbush CDP                                                                    ",3784,949.784,2486.088,348.128,90.8
"178","East Hampton village                                                                  ",1402,173.848,803.346,423.404,86.3
"179","East Hampton North CDP                                                                ",2780,553.22,1715.26,514.3,84.5
"180","East Hills village                                                                    ",6746,1659.516,4196.012,897.218,92.6
"181","East Islip CDP                                                                        ",14325,3667.2,9239.625,1432.5,90.9
"182","East Ithaca CDP                                                                       ",2152,413.184,1558.048,180.768,99
"183","East Massapequa CDP                                                                   ",19550,4418.3,12766.15,2365.55,89.4
"184","East Meadow CDP                                                                       ",36909,8230.707,23843.214,4871.988,102.9
"185","East Middletown CDP                                                                   ",4974,1263.396,2969.478,746.1,83.4
"186","East Moriches CDP                                                                     ",4021,1085.67,2400.537,538.814,92
"187","East Northport CDP                                                                    ",20411,4878.229,13328.383,2204.388,93.1
"188","East Norwich CDP                                                                      ",2698,585.466,1767.19,345.344,92.5
"189","East Patchogue CDP                                                                    ",20195,4806.41,12278.56,3110.03,87.7
"190","East Quogue CDP                                                                       ",4372,905.004,2561.992,905.004,90.7
"191","East Rochester village                                                                ",6932,1538.904,4353.296,1039.8,84.2
"192","East Rockaway village                                                                 ",10152,2202.984,6517.584,1431.432,89
"193","East Shoreham CDP                                                                     ",5461,1600.073,3527.806,338.582,93.9
"194","East Syracuse village                                                                 ",3343,748.832,2025.858,564.967,85.5
"195","East Williston village                                                                ",2515,573.42,1534.15,409.945,88.2
"196","Eatons Neck CDP                                                                       ",1499,292.305,1062.791,143.904,101.5
"197","Eden CDP                                                                              ",3088,818.32,1914.56,355.12,94.8
"198","Elbridge village                                                                      ",1219,316.94,756.999,145.061,93.6
"199","Ellenville village                                                                    ",4243,1264.414,2359.108,619.478,86.1
"200","Elma Center CDP                                                                       ",2354,508.464,1515.976,329.56,95.9
"201","Elmira city                                                                           ",33724,8768.24,19897.16,5058.6,90.6
"202","Elmira Heights village                                                                ",4359,1011.288,2497.707,850.005,80.5
"203","Elmont CDP                                                                            ",28612,6037.132,18140.008,4463.472,94.4
"204","Elmsford village                                                                      ",3938,972.686,2473.064,492.25,92.8
"205","Elwood CDP                                                                            ",10916,2412.436,7510.208,993.356,97
"206","Endicott village                                                                      ",13531,2827.979,8321.565,2381.456,82.1
"207","Endwell CDP                                                                           ",12602,2646.42,7825.842,2129.738,88.7
"208","Fairmount CDP                                                                         ",12266,2686.254,7519.058,2048.422,87.4
"209","Fairport village                                                                      ",5943,1533.294,3732.204,671.559,90.9
"210","Fairview CDP                                                                          ",4811,1116.152,3016.497,678.351,89.9
"211","Falconer village                                                                      ",2653,586.313,1605.065,461.622,87.5
"212","Farmingdale village                                                                   ",8022,1580.334,5358.696,1082.97,93.6
"213","Farmingville CDP                                                                      ",14842,4289.338,9602.774,949.888,95.4
"214","Fayetteville village                                                                  ",4248,938.808,2697.48,611.712,83.6
"215","Firthcliffe CDP                                                                       ",4427,1155.447,2687.189,584.364,89.3
"216","Fishkill village                                                                      ",1957,279.851,1076.35,600.799,75
"217","Flanders CDP                                                                          ",3231,927.297,1977.372,326.331,92.7
"218","Floral Park village                                                                   ",15947,3572.128,9839.299,2535.573,86.8
"219","Florida village                                                                       ",2497,666.699,1515.679,314.622,86.7
"220","Flower Hill village                                                                   ",4490,1037.19,2765.84,686.97,91.4
"221","Fonda village                                                                         ",1007,249.736,604.2,153.064,106.3
"222","Forest Home CDP                                                                       ",1125,317.25,758.25,49.5,98.5
"223","Fort Drum CDP                                                                         ",11578,2767.142,8799.28,11.578,256.3
"224","Fort Edward village                                                                   ",3561,1004.202,2129.478,427.32,86.9
"225","Fort Montgomery CDP                                                                   ",1450,361.05,939.6,149.35,104.3
"226","Fort Plain village                                                                    ",2416,640.24,1316.72,459.04,84.8
"227","Fort Salonga CDP                                                                      ",9176,2110.48,6258.032,807.488,96.5
"228","Frankfort village                                                                     ",2693,627.469,1540.396,525.135,85.4
"229","Franklin Square CDP                                                                   ",28205,5556.385,17176.845,5499.975,86.3
"230","Franklinville village                                                                 ",1739,514.744,921.67,302.586,80.7
"231","Fredonia village                                                                      ",10436,1826.3,7409.56,1210.576,78.7
"232","Freeport village                                                                      ",39894,9654.348,26090.676,4148.976,90.9
"233","Frewsburg CDP                                                                         ",1817,472.42,1013.886,330.694,88.5
"234","Friendship CDP                                                                        ",1423,461.052,752.767,209.181,93.2
"235","Fulton city                                                                           ",12929,3477.901,7304.885,2159.143,82.5
"236","Gang Mills CDP                                                                        ",2738,747.474,1593.516,397.01,84.6
"237","Garden City village                                                                   ",21686,4445.63,13662.18,3599.876,85.2
"238","Garden City Park CDP                                                                  ",7437,1509.711,4439.889,1487.4,88
"239","Garden City South CDP                                                                 ",4073,769.797,2525.26,782.016,88.2
"240","Gardnertown CDP                                                                       ",4209,1010.16,2592.744,606.096,92.5
"241","Gasport CDP                                                                           ",1336,339.344,753.504,241.816,85.1
"242","Gates-North Gates CDP                                                                 ",14995,3193.935,9671.775,2129.29,86.5
"243","Geneseo village                                                                       ",7187,711.513,6051.454,431.22,60.1
"244","Geneva city                                                                           ",14143,2984.173,8853.518,2291.166,86.3
"245","Glasco CDP                                                                            ",1538,341.436,959.712,236.852,84.7
"246","Glen Cove city                                                                        ",24149,4878.098,15238.019,4032.883,88.4
"247","Glen Head CDP                                                                         ",4488,897.6,2854.368,736.032,90.2
"248","Glens Falls city                                                                      ",15023,3725.704,9013.8,2283.496,80
"249","Glens Falls North CDP                                                                 ",7978,1962.588,4746.91,1268.502,83.5
"250","Glenwood Landing CDP                                                                  ",3407,705.249,2166.852,534.899,91.6
"251","Gloversville city                                                                     ",16656,4164,9194.112,3297.888,80
"252","Golden's Bridge CDP                                                                   ",1589,373.415,1070.986,144.599,89.1
"253","Goshen village                                                                        ",5255,1124.57,3421.005,709.425,103.2
"254","Gouverneur village                                                                    ",4604,1358.18,2610.468,635.352,84.2
"255","Gowanda village                                                                       ",2901,713.646,1586.847,603.408,77.6
"256","Granville village                                                                     ",2646,685.314,1420.902,539.784,77.4
"257","Great Neck village                                                                    ",8745,1906.41,5316.96,1521.63,88.4
"258","Great Neck Estates village                                                            ",2790,694.71,1646.1,449.19,89.2
"259","Great Neck Plaza village                                                              ",5897,589.7,3844.844,1468.353,73.4
"260","Greece CDP                                                                            ",15632,3485.936,9676.208,2469.856,86.6
"261","Greene village                                                                        ",1812,491.052,1005.66,315.288,83
"262","Green Island village                                                                  ",2490,547.8,1546.29,395.91,89.8
"263","Greenlawn CDP                                                                         ",13208,2998.216,8400.288,1809.496,86
"264","Greenport village                                                                     ",2070,490.59,1202.67,376.74,83.4
"265","Greenport West CDP                                                                    ",1614,264.696,805.386,543.918,74.2
"266","Greenville CDP                                                                        ",9528,2153.328,6240.84,1133.832,85.8
"267","Greenwich village                                                                     ",1961,543.197,1168.756,247.086,86.2
"268","Greenwood Lake village                                                                ",3208,850.12,1992.168,365.712,95.8
"269","Groton village                                                                        ",2398,678.634,1366.86,352.506,77.5
"270","Hagaman village                                                                       ",1377,331.857,809.676,235.467,91.4
"271","Halesite CDP                                                                          ",2687,612.636,1751.924,319.753,95.1
"272","Hamburg village                                                                       ",10442,2756.688,6150.338,1545.416,81.2
"273","Hamilton village                                                                      ",3790,333.52,3134.33,322.15,99.4
"274","Hampton Bays CDP                                                                      ",7893,1562.814,4704.228,1618.065,89.6
"275","Hampton Manor CDP                                                                     ",2600,556.4,1622.4,421.2,83.5
"276","Hancock village                                                                       ",1330,364.42,747.46,216.79,82.4
"277","Harriman village                                                                      ",2288,546.832,1514.656,226.512,89.2
"278","Harris Hill CDP                                                                       ",4577,1016.094,2837.74,723.166,91.6
"279","Harrison village                                                                      ",23308,4218.748,15849.44,3239.812,84.4
"280","Hartsdale CDP                                                                         ",9587,1696.899,6442.464,1447.637,83.9
"281","Hastings-on-Hudson village                                                            ",8000,1728,4880,1400,84
"282","Hauppauge CDP                                                                         ",19750,4443.75,13943.5,1362.75,96.7
"283","Haverstraw village                                                                    ",9438,2869.152,5691.114,877.734,89.2
"284","Haviland CDP                                                                          ",3605,865.2,2354.065,385.735,97.3
"285","Hawthorne CDP                                                                         ",4764,1138.596,3058.488,566.916,95.6
"286","Head of the Harbor village                                                            ",1354,297.88,942.384,112.382,103.1
"287","Hempstead village                                                                     ",49453,11769.814,33479.681,4203.505,83.5
"288","Herkimer village                                                                      ",7945,1541.33,4576.32,1827.35,78.7
"289","Herricks CDP                                                                          ",4097,835.788,2441.812,819.4,89
"290","Hewlett CDP                                                                           ",6620,1416.68,4197.08,1006.24,89.7
"291","Hewlett Harbor village                                                                ",1193,225.477,757.555,208.775,93.8
"292","Hicksville CDP                                                                        ",40174,8356.192,25872.056,5945.752,94.3
"293","Highland CDP                                                                          ",4492,1006.208,2780.548,705.244,84.7
"294","Highland Falls village                                                                ",3937,885.825,2464.562,586.613,90.5
"295","Highland Mills CDP                                                                    ",2576,759.92,1671.824,144.256,96.3
"296","Hillcrest CDP                                                                         ",6447,1811.607,3971.352,664.041,87.4
"297","Hillside Lake CDP                                                                     ",1692,531.288,1049.04,111.672,96.8
"298","Hilton village                                                                        ",5216,1674.336,3150.464,396.416,90.5
"299","Holbrook CDP                                                                          ",25273,7404.989,16326.358,1541.653,92.4
"300","Holland CDP                                                                           ",1288,378.672,762.496,145.544,94.2
"301","Holley village                                                                        ",1890,506.52,1132.11,251.37,88.8
"302","Holtsville CDP                                                                        ",14972,4281.992,9851.576,838.432,94.8
"303","Homer village                                                                         ",3476,865.524,2033.46,580.492,82.8
"304","Honeoye Falls village                                                                 ",2340,540.54,1467.18,329.94,86.8
"305","Hoosick Falls village                                                                 ",3490,921.36,1971.85,596.79,84
"306","Hopewell Junction CDP                                                                 ",1786,453.644,1134.11,198.246,96.3
"307","Hornell city                                                                          ",9877,2814.945,5481.735,1580.32,81.6
"308","Horseheads village                                                                    ",6802,1448.826,3870.338,1482.836,80.8
"309","Horseheads North CDP                                                                  ",3003,831.831,1846.845,324.324,89.9
"310","Houghton CDP                                                                          ",1740,238.38,1341.54,160.08,67.3
"311","Hudson city                                                                           ",8034,1920.126,4547.244,1566.63,94.5
"312","Hudson Falls village                                                                  ",7651,1989.26,4598.251,1071.14,83.2
"313","Huntington CDP                                                                        ",18243,3940.488,11821.464,2481.048,89.6
"314","Huntington Bay village                                                                ",1521,351.351,982.566,187.083,97.6
"315","Huntington Station CDP                                                                ",28247,6722.786,18501.785,3022.429,93.7
"316","Hurley CDP                                                                            ",4644,1123.848,2939.652,580.5,96
"317","Ilion village                                                                         ",8888,2515.304,4799.52,1573.176,82.6
"318","Inwood CDP                                                                            ",7767,1770.876,4722.336,1273.788,80
"319","Irondequoit CDP                                                                       ",52322,10202.79,29980.506,12191.026,83.1
"320","Irvington village                                                                     ",6348,1479.084,4030.98,837.936,88
"321","Islandia village                                                                      ",2769,733.785,1927.224,107.991,94.6
"322","Island Park village                                                                   ",4860,1015.74,3173.58,670.68,86.4
"323","Islip CDP                                                                             ",18924,4617.456,12565.536,1741.008,91.6
"324","Islip Terrace CDP                                                                     ",5530,1415.68,3666.39,453.46,94.5
"325","Ithaca city                                                                           ",29541,2983.641,24282.702,2274.657,106.9
"326","Jamesport CDP                                                                         ",1532,332.444,883.964,315.592,97.4
"327","Jamestown city                                                                        ",34681,8913.017,19802.851,5965.132,83.2
"328","Jamestown West CDP                                                                    ",2633,552.93,1485.012,595.058,83.7
"329","Jefferson Heights CDP                                                                 ",1512,244.944,754.488,512.568,67.8
"330","Jefferson Valley-Yorktown CDP                                                         ",14118,3444.792,8724.924,1948.284,88
"331","Jericho CDP                                                                           ",13141,2851.597,8725.624,1563.779,94.7
"332","Johnson City village                                                                  ",16890,3259.77,9897.54,3732.69,82.8
"333","Johnstown city                                                                        ",9058,2219.21,5063.422,1775.368,81
"334","Jordan village                                                                        ",1325,402.8,743.325,178.875,85.9
"335","Keeseville village                                                                    ",1854,504.288,1143.918,205.794,88.7
"336","Kenmore village                                                                       ",17180,4002.94,10342.36,2851.88,81.2
"337","Kensington village                                                                    ",1104,250.608,612.72,239.568,80.7
"338","Kerhonkson CDP                                                                        ",1629,374.67,936.675,319.284,89.3
"339","Kinderhook village                                                                    ",1293,319.371,762.87,209.466,85.3
"340","Kings Park CDP                                                                        ",17773,3607.919,11836.818,2328.263,93.6
"341","Kings Point village                                                                   ",4843,920.17,3293.24,629.59,123.2
"342","Kingston city                                                                         ",23095,5057.805,13718.43,4318.765,81.5
"343","Kiryas Joel village                                                                   ",7437,4685.31,2558.328,200.799,122.5
"344","Lackawanna city                                                                       ",20585,4713.965,12227.49,3664.13,85
"345","Lake Carmel CDP                                                                       ",8489,2385.409,5415.982,687.609,95.1
"346","Lake Erie Beach CDP                                                                   ",4509,1294.083,2782.053,437.373,94.9
"347","Lake Grove village                                                                    ",9612,2451.06,6334.308,826.632,92.5
"348","Lake Katrine CDP                                                                      ",1998,417.582,1354.644,225.774,92.2
"349","Lake Luzerne-Hadley CDP                                                               ",2042,514.584,1204.78,322.636,89.6
"350","Lake Placid village                                                                   ",2485,519.365,1575.49,390.145,86.5
"351","Lake Ronkonkoma CDP                                                                   ",18997,4901.226,11968.11,2127.664,90.4
"352","Lake Success village                                                                  ",2484,452.088,1363.716,668.196,77.4
"353","Lakeview CDP                                                                          ",5476,1374.476,3488.212,613.312,79.2
"354","Lakewood village                                                                      ",3564,848.232,2131.272,584.496,83.6
"355","Lancaster village                                                                     ",11940,2710.38,7271.46,1970.1,84
"356","Lansing village                                                                       ",3281,675.886,2342.634,259.199,93.2
"357","Larchmont village                                                                     ",6181,1495.802,3894.03,791.168,87.1
"358","Latham CDP                                                                            ",10131,2147.772,6402.792,1580.436,84.4
"359","Lattingtown village                                                                   ",1859,399.685,1171.17,288.145,97.8
"360","Laurel CDP                                                                            ",1094,278.97,611.546,203.484,86.1
"361","Laurel Hollow village                                                                 ",1748,438.748,1078.516,232.484,93.8
"362","Lawrence village                                                                      ",6513,1654.302,3758.001,1107.21,88
"363","Le Roy village                                                                        ",4974,1283.292,2845.128,845.58,82.9
"364","Levittown CDP                                                                         ",53286,12309.066,35222.046,5754.888,93.4
"365","Lewiston village                                                                      ",3048,603.504,1712.976,731.52,79.2
"366","Liberty village                                                                       ",4128,1065.024,2274.528,788.448,79.7
"367","Lido Beach CDP                                                                        ",2786,465.262,1783.04,537.698,90.2
"368","Lima village                                                                          ",2165,584.55,1387.765,192.685,83.2
"369","Lime Lake-Machias CDP                                                                 ",1269,332.478,666.225,271.566,84.4
"370","Lincoln Park CDP                                                                      ",2457,417.69,1434.888,601.965,79.5
"371","Lindenhurst village                                                                   ",26879,6450.96,17525.108,2876.053,92.3
"372","Little Falls city                                                                     ",5829,1270.722,2885.355,1672.923,78.5
